likes,body,time
115,"Хирург Руслан Меллин в сентябре отработал первую двухнедельную смену в «красной зоне» кемеровской больницы, которую переделали под ковидный госпиталь.

Параллельно он втайне от коллег делал рисунки чернилами: изображал врачей и пациентов, машины скорой помощи и даже собственного сына, который пошел в этом году в первый класс.

Мы поговорил с Меллиным о буднях врача в «красной зоне», страхе перед болезнью и смертью, общении с пациентами и их близкими — и, конечно, об увлечении рисованием. ",1601030067
112,"Таиланд — это не столько эклектичный Бангкок и клубы Пхукета. Рассказываем об удивительных местах страны, где можно прыгать со скал, гулять по джунглям и любоваться рисовыми полями.

Это партнерский материал.",1601029267
104,"Официально это третья пластинка рэпера. А номинально — четвертая. Просто предыдущую он записал и удалил, после чего устроил собственные похороны и снял об этом фильм «Люцифер»",1601028715
312,"Список стран, которые не признают Александра Лукашенко избранным президентом Беларуси, пополнился Норвегией",1601025871
90,"Собрали все, что известно к этой минуте о резком росте числа заболевших ковидом в Москве",1601024585
71,Вчера вечером в Нижегородской области пропала девятилетняя девочка. Позже ее тело с признаками насильственной смерти было обнаружено в безлюдном месте за одним из местных кафе. Сегодня СК объявил о задержании подозреваемого — 34-летнего мужчины,1601024047
236,😮😮😮,1601022247
253,🥈🌊,1601020447
198,"Среди предложенных ограничительных мер — блокировка активов и запрет на выдачу виз в США. Имена и должности людей, в отношении которых могут ввести санкции, в документе не уточняются.",1601020054
189,"«После операции я проснулась в палате и стала себя щупать: ""О! Что-то есть!"" Радость длилась не очень долго. Было очень больно, я была вся в дренажах, которые причиняют какую-то адскую боль. Когда сняли пластырь, я увидела свою грудь, вот тут я плакала точно полчаса. Казалось, что жизнь кончена, — шрам».

Рак молочной железы — это не только страх перед смертью, химиотерапия и операции, но и все, что бывает потом: адаптация к новому телу, возвращение к обычной жизни, переосмысление своей сексуальности. 

MeduzaCare публикует вторую часть фотопроекта Сергея Строителева «Мне больше не страшно?» о сложном процессе восстановления после мастэктомии (удаления молочной железы).",1601018254
71,"В десяти крупных городах России запускают системы распознавания лиц, с помощью которых планируют искать преступников и штрафовать нарушителей карантина",1601016754
88,"«Любая утечка внутренних конфиденциальных документов недопустима. По этой причине мы воздерживаемся от комментариев. Ведется расследование», — таким образом в МИДе Франции прокомментировали попавшие в СМИ сведениями о телефонных переговорах Владимира Путина и Эммануэля Макрона, в ходе которых президенты обсуждали отравление Алексея Навального. ",1601013503
196,"Из-за роста заболеваемости СOVID-19 мэр Москвы Сергей Собянин попросил людей старше 65 лет с 28 сентября не покидать свои дома без лишней необходимости. Работающим пенсионерам рекомендовано взять отпуск, а предприятиям — перевести как можно больше сотрудников на дистанционный формат работы.",1601011102
154,📈📈📈,1601010344
68,"В Росфинмониторинге заявили, что российские власти не игнорируют операции клиентов, которые могут быть связаны с отмыванием денег. А некоторые из таких операций даже становятся основой уголовных дел. Но конкретных примеров в ведомстве не привели",1601007944
87,"В диапазоне, который запросила Apple, работает технология Ultra WideBand (UWB) — аналог Bluetooth.

UWB используется в iPhone 11, но в России не работает из-за ограничений госкомиссии по радиочастотам",1601005544
227,"Большинство россиян считают профессию блогера несерьезной или бесполезной, следует из опроса ВЦИОМ.

75% его участников заявили, что не хотят, чтобы их дети или внуки стали блогерами. 14% были бы не против и 11% затруднились ответить.",1601003144
138,"Кинокритик Антон Долин рассказывает, почему этот фильм, отсылающий к легенде о русалке, — одна из лучших любовных киноисторий этого года и почему его стоит посмотреть всем, кто любит Берлин.",1600999544
43,"Кино каких стран сейчас самое актуальное? Почему румынская новая волна не менее интересна, чем голливудские блокбастеры?

Что снимают в Греции, Мексике и Южной Корее? А российские фильмы для Запада — такая же экзотика, как азиатское или африканское кино?

В подкасте «Истории кино» Антон Долин говорит об этом с кинокритиком Евгением Гусятинским.",1600995944
217,"Крупные разработчики приложений объединились, чтобы вместе бороться с политикой компании Apple, которая берет 30% комиссии за размещение приложений в App Store. ",1600992344
68,"Рэпер 6ix9ine к 24 годам успел стать рекордсменом ютьюба, вступить в криминальную банду, сдать полиции новых друзей и получить за это множество антиреспектов от рэперов старой школы. 

Но на его репутацию среди слушателей это, кажется, почти не повлияло",1600988743
106,"В Москве возбудили дело в отношении полицейских, которые, по версии следствия, передали посторонним данные с камер распознавания лиц",1600985143
95,"По словам Марии Певчих, она видела Бориса Титова, когда сотрудники ФБК осматривали номер, где жил Навальный, и забирали оттуда вещи: «Все это время в поле моего зрения был Борис Титов»",1600981543
